date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
09/08/2024,4,12,13,14,20,22,26,30,32,33,34,42,44,48,50,52,54,57,64,72,74,76,81,84,86,96,97
08/08/2024,0,4,4,13,17,17,27,32,40,52,57,59,62,62,66,67,74,77,77,81,82,84,87,89,90,91,99
07/08/2024,7,8,14,17,17,17,19,21,30,30,37,39,39,40,48,49,62,62,67,70,71,72,72,76,80,87,89
06/08/2024,4,8,11,12,14,15,17,19,19,23,24,25,36,50,57,57,59,61,69,70,71,71,73,77,80,82,85
05/08/2024,1,11,13,16,19,19,20,23,25,29,33,36,37,39,39,40,41,46,50,52,63,68,68,75,78,92,97
04/08/2024,0,3,6,7,8,9,10,12,13,14,21,22,24,29,29,32,36,37,37,49,61,75,77,78,82,85,86
03/08/2024,0,1,1,2,3,5,15,16,17,25,26,27,35,40,41,41,46,49,50,50,55,68,83,88,96,97,98
02/08/2024,1,7,12,14,27,34,36,37,39,42,54,54,55,56,59,59,63,65,65,66,73,74,80,84,87,88,97
01/08/2024,4,12,19,23,32,32,34,35,35,44,45,46,51,52,52,53,66,72,72,79,83,89,90,91,93,96,96
31/07/2024,5,6,7,12,14,20,21,23,26,26,31,33,35,38,39,40,42,49,64,64,69,72,72,78,81,92,98
30/07/2024,0,4,6,9,13,19,20,30,39,39,40,45,47,47,52,56,61,66,72,74,76,76,79,81,90,94,96
29/07/2024,6,8,11,11,14,15,15,17,19,22,23,23,25,26,32,40,46,48,49,55,55,57,59,59,71,91,92
28/07/2024,2,11,13,13,13,16,18,18,22,23,35,38,41,45,46,47,48,48,51,65,67,69,73,77,88,89,89
27/07/2024,16,19,22,28,28,29,41,47,50,53,60,68,70,72,74,79,80,83,84,89,90,92,92,92,94,96,97
26/07/2024,12,13,16,21,22,24,26,28,32,32,36,37,39,43,47,55,66,66,67,68,70,74,82,87,89,96,99
25/07/2024,2,3,11,15,16,21,22,22,23,30,32,52,56,59,60,62,66,68,73,74,75,86,86,92,96,97,99
24/07/2024,0,10,11,14,18,26,30,32,36,46,49,55,59,63,66,72,73,76,76,79,80,80,83,85,89,92,97
23/07/2024,6,20,21,25,25,28,32,34,35,37,39,40,41,42,44,55,56,63,64,66,72,73,74,86,89,91,99
22/07/2024,2,2,8,11,12,13,16,21,21,22,23,23,28,29,33,33,36,38,44,48,54,65,73,86,96,98,99
21/07/2024,5,6,7,21,21,22,27,30,32,36,42,45,51,54,54,66,73,76,80,81,89,90,92,92,96,96,96
20/07/2024,1,2,3,4,7,7,15,16,18,36,39,42,45,52,58,60,62,64,65,67,72,75,77,82,89,90,97
19/07/2024,7,20,22,24,24,29,32,36,39,45,48,52,52,52,60,66,73,77,78,84,85,88,90,92,94,98,99
18/07/2024,2,5,14,20,22,29,31,31,37,44,45,49,55,56,57,59,68,69,73,76,76,77,80,87,92,95,97
17/07/2024,0,1,15,17,18,21,22,23,24,25,33,36,47,52,59,62,64,70,73,76,81,83,85,85,87,88,91
16/07/2024,1,3,9,9,12,12,21,22,39,41,44,45,50,59,60,62,65,66,70,78,79,86,89,89,94,96,97
15/07/2024,0,18,24,28,30,30,34,35,39,40,41,41,46,49,52,53,63,63,66,67,80,81,81,84,94,97,99
14/07/2024,1,6,7,9,10,18,20,20,23,24,31,33,49,54,54,59,62,63,69,70,74,79,79,94,95,98,99
13/07/2024,1,12,14,15,20,33,33,35,37,52,53,55,60,65,65,68,70,72,76,76,82,82,84,84,89,96,97
12/07/2024,6,12,14,19,19,20,25,36,37,40,44,48,52,58,59,59,66,66,67,69,72,72,76,78,80,93,99
11/07/2024,0,2,5,7,11,16,21,23,29,32,32,33,33,39,45,51,52,52,53,57,59,65,71,83,86,87,99
10/07/2024,0,3,5,13,16,16,22,25,26,27,32,41,41,43,47,60,63,63,70,74,76,81,84,93,94,97,99
09/07/2024,1,3,4,4,7,13,22,31,42,45,48,52,55,59,59,59,66,66,68,72,73,73,76,78,93,94,98
08/07/2024,3,11,11,16,19,23,24,26,27,28,40,43,48,49,50,53,55,56,57,67,72,73,75,78,88,89,97
07/07/2024,0,2,11,14,16,17,26,28,36,37,45,58,63,69,70,73,76,77,78,79,80,81,86,92,94,94,99
06/07/2024,3,7,8,13,20,21,27,28,29,29,37,40,46,48,51,54,56,61,67,77,81,84,88,89,89,92,96
05/07/2024,0,1,9,18,24,25,26,29,31,31,35,36,39,41,46,49,50,57,60,65,68,72,76,85,90,96,99
04/07/2024,2,6,6,8,13,20,20,22,26,27,28,35,36,38,43,59,64,67,69,71,73,77,78,86,89,95,98
03/07/2024,1,3,3,7,15,16,16,19,29,32,35,38,39,46,53,53,57,63,63,66,70,81,89,90,91,94,97
02/07/2024,1,7,12,14,18,20,21,21,27,31,36,39,39,43,43,44,52,61,63,69,74,77,83,89,89,94,95
01/07/2024,2,4,10,12,14,16,18,22,34,38,45,48,48,53,59,60,65,67,78,80,82,82,82,85,86,90,99
30/06/2024,2,6,11,14,19,23,23,29,29,37,45,46,46,47,48,56,58,71,74,76,79,81,81,82,82,93,98
29/06/2024,0,4,4,5,14,23,25,25,30,33,36,39,40,41,42,43,45,49,54,56,59,61,66,72,78,85,90
